depth,magnitude_a,time,latitude,longitude
20,5,1983050117449.4, 38369 , 144372 
0,5.2,1983050606451, 44046 , 149520 
20,5.4,19830506131616.3, 43017 , 146501 
50,5.2,19830509063050.1, 43062 , 146543 
19,5.6,1983051009155, 24300 , 121312 
52,5.2,19830514222916, 40256 , 138592 
49,5.2,19830521194637.3, 35176 , 140245 
42,5.8,19830524025553.5, 37541 , 142021 
33,5.2,1983052414095.5, 23540 , 143144 
14,7.7,19830526115957.5, 40216 , 139044 
24,5.2,1983052612229.9, 40174 , 139007 
27,5.3,19830526123236.8, 40338 , 139181 
24,5.1,19830526123550.1, 40427 , 138526 
25,5.3,1983052612392.2, 41012 , 139257 
57,5.3,19830526124121.7, 40280 , 139135 
17,5,19830526125420.5, 40123 , 138501 
9,6.1,19830526125656, 40458 , 139224 
10,5.1,19830526132542.6, 40244 , 138508 
23,5.1,19830526140612, 40582 , 139280 
15,5.1,19830526144525.2, 40580 , 139167 
0,5,19830526150714.8, 40159 , 138456 
0,5,19830526151529.4, 40511 , 139083 
20,5.2,19830526151742.6, 41157 , 138595 
5,5.1,19830526183529.5, 41033 , 138574 
0,5,19830526191222.8, 41161 , 139033 
8,5.1,19830526201751.3, 40133 , 139017 
4,5,19830526221316.1, 40164 , 138571 
14,5.1,19830526223512.8, 40246 , 139126 
42,5.2,19830526231223.5, 40108 , 139051 
47,5,1983052701007.2, 40125 , 138535 
6,5,19830527020937.6, 41090 , 139077 
10,5.1,1983052708253.8, 40157 , 138446 
38,5.1,19830527131651.8, 40459 , 139088 
25,5.2,19830528112922.6, 41075 , 138566 
1,5.2,19830528164447.6, 40419 , 138571 
44,5,19830529010336.9, 40214 , 139146 
38,5.4,19830529011040.9, 40072 , 139010 
28,5.5,19830529142650.5, 36569 , 142006 
48,5.1,19830529161530, 40245 , 139008 
84,5.5,19830530055357.9, 42363 , 143345 
47,5.4,19830530070149.1, 40419 , 139250 
45,5.1,19830531091727.5, 41025 , 139010 
27,5.2,19830601081910.3, 40463 , 139179 
26,5.3,19830601082230.5, 40469 , 139181 
55,5.1,19830601095847, 40252 , 139048 
23,5,19830601154033.8, 40060 , 138485 
9,5,19830601161425.7, 40281 , 138552 
60,5.3,19830603050336.4, 44322 , 148572 
54,5,19830603172215.3, 40261 , 138558 
35,5.1,19830609133646.9, 40026 , 138517 
27,5.3,19830609192330.6, 40095 , 139037 
23,6.1,1983060921491.2, 40132 , 138540 
14,6,19830609220356.8, 40113 , 138511 
57,5,19830610162016, 40152 , 138578 
0,5,19830612070120.9, 40473 , 139003 
0,5.3,19830613095158.9, 40204 , 144155 
0,5.5,1983061504493.8, 45103 , 148558 
9,5,19830618055529.4, 41136 , 138556 
29,5.4,19830619071331.3, 40072 , 138595 
36,5,19830619133548.7, 40082 , 138568 
33,5,19830620114324.3, 41008 , 139051 
60,6.2,19830621001435.9, 44387 , 148448 
